id,year,council_area,age_group,sex,number_assessed,percent_assessed
1,2006,Scotland,All,All,12186,100
2,2007,Scotland,All,All,12931,100
3,2008,Scotland,All,All,12117,100
4,2009,Scotland,All,All,11317,100
5,2010,Scotland,All,All,11427,100
6,2011,Scotland,All,All,11335,100
7,2012,Scotland,All,All,11672,100
8,2013,Scotland,All,All,NA,NA
9,2014,Scotland,All,All,12524,100
10,2015,Scotland,All,All,12140,100
11,2016,Scotland,All,All,11896,100
12,2017,Scotland,All,All,11031,100
13,2019,Scotland,All,All,10757,100
14,2006,Aberdeen City,All,All,412,100
15,2007,Aberdeen City,All,All,676,100
16,2008,Aberdeen City,All,All,555,100
17,2009,Aberdeen City,All,All,524,100
18,2010,Aberdeen City,All,All,511,100
19,2011,Aberdeen City,All,All,500,100
20,2012,Aberdeen City,All,All,640,100
21,2013,Aberdeen City,All,All,723,100
22,2014,Aberdeen City,All,All,736,100
23,2015,Aberdeen City,All,All,865,100
24,2016,Aberdeen City,All,All,677,100
25,2017,Aberdeen City,All,All,730,100
26,2019,Aberdeen City,All,All,624,100
27,2006,Aberdeenshire,All,All,354,100
28,2007,Aberdeenshire,All,All,303,100
29,2008,Aberdeenshire,All,All,296,100
30,2009,Aberdeenshire,All,All,283,100
31,2010,Aberdeenshire,All,All,372,100
32,2011,Aberdeenshire,All,All,399,100
33,2012,Aberdeenshire,All,All,345,100
34,2013,Aberdeenshire,All,All,328,100
35,2014,Aberdeenshire,All,All,346,100
36,2015,Aberdeenshire,All,All,327,100
37,2016,Aberdeenshire,All,All,572,100
38,2017,Aberdeenshire,All,All,486,100
39,2019,Aberdeenshire,All,All,545,100
40,2006,Angus,All,All,177,100
41,2007,Angus,All,All,317,100
42,2008,Angus,All,All,264,100
43,2009,Angus,All,All,163,100
44,2010,Angus,All,All,144,100
45,2011,Angus,All,All,144,100
46,2012,Angus,All,All,190,100
47,2013,Angus,All,All,NA,NA
48,2014,Angus,All,All,193,100
49,2015,Angus,All,All,184,100
50,2016,Angus,All,All,129,100
51,2017,Angus,All,All,77,100
52,2019,Angus,All,All,71,100
53,2006,Argyll and Bute,All,All,148,100
54,2007,Argyll and Bute,All,All,159,100
55,2008,Argyll and Bute,All,All,158,100
56,2009,Argyll and Bute,All,All,135,100
57,2010,Argyll and Bute,All,All,88,100
58,2011,Argyll and Bute,All,All,78,100
59,2012,Argyll and Bute,All,All,55,100
60,2013,Argyll and Bute,All,All,79,100
61,2014,Argyll and Bute,All,All,74,100
62,2015,Argyll and Bute,All,All,53,100
63,2016,Argyll and Bute,All,All,56,100
64,2017,Argyll and Bute,All,All,74,100
65,2019,Argyll and Bute,All,All,44,100
66,2006,East Ayrshire,All,All,466,100
67,2007,East Ayrshire,All,All,385,100
68,2008,East Ayrshire,All,All,463,100
69,2009,East Ayrshire,All,All,464,100
70,2010,East Ayrshire,All,All,457,100
71,2011,East Ayrshire,All,All,452,100
72,2012,East Ayrshire,All,All,369,100
73,2013,East Ayrshire,All,All,511,100
74,2014,East Ayrshire,All,All,491,100
75,2015,East Ayrshire,All,All,451,100
76,2016,East Ayrshire,All,All,372,100
77,2017,East Ayrshire,All,All,294,100
78,2019,East Ayrshire,All,All,374,100
79,2006,North Ayrshire,All,All,466,100
80,2007,North Ayrshire,All,All,342,100
81,2008,North Ayrshire,All,All,449,100
82,2009,North Ayrshire,All,All,681,100
83,2010,North Ayrshire,All,All,620,100
84,2011,North Ayrshire,All,All,441,100
85,2012,North Ayrshire,All,All,446,100
86,2013,North Ayrshire,All,All,539,100
87,2014,North Ayrshire,All,All,455,100
88,2015,North Ayrshire,All,All,491,100
89,2016,North Ayrshire,All,All,400,100
90,2017,North Ayrshire,All,All,350,100
91,2019,North Ayrshire,All,All,412,100
92,2006,South Ayrshire,All,All,219,100
93,2007,South Ayrshire,All,All,235,100
94,2008,South Ayrshire,All,All,190,100
95,2009,South Ayrshire,All,All,247,100
96,2010,South Ayrshire,All,All,254,100
97,2011,South Ayrshire,All,All,280,100
98,2012,South Ayrshire,All,All,269,100
99,2013,South Ayrshire,All,All,320,100
100,2014,South Ayrshire,All,All,287,100
101,2015,South Ayrshire,All,All,236,100
102,2016,South Ayrshire,All,All,224,100
103,2017,South Ayrshire,All,All,267,100
104,2019,South Ayrshire,All,All,256,100
105,2006,Scottish Borders,All,All,128,100
106,2007,Scottish Borders,All,All,185,100
107,2008,Scottish Borders,All,All,182,100
108,2009,Scottish Borders,All,All,192,100
109,2010,Scottish Borders,All,All,190,100
110,2011,Scottish Borders,All,All,220,100
111,2012,Scottish Borders,All,All,165,100
112,2013,Scottish Borders,All,All,185,100
113,2014,Scottish Borders,All,All,142,100
114,2015,Scottish Borders,All,All,152,100
115,2016,Scottish Borders,All,All,215,100
116,2017,Scottish Borders,All,All,156,100
117,2019,Scottish Borders,All,All,187,100
118,2006,Clackmannanshire,All,All,130,100
119,2007,Clackmannanshire,All,All,116,100
120,2008,Clackmannanshire,All,All,129,100
121,2009,Clackmannanshire,All,All,126,100
122,2010,Clackmannanshire,All,All,162,100
123,2011,Clackmannanshire,All,All,136,100
124,2012,Clackmannanshire,All,All,141,100
125,2013,Clackmannanshire,All,All,144,100
126,2014,Clackmannanshire,All,All,164,100
127,2015,Clackmannanshire,All,All,154,100
128,2016,Clackmannanshire,All,All,141,100
129,2017,Clackmannanshire,All,All,158,100
130,2019,Clackmannanshire,All,All,174,100
131,2006,Dumfries and Galloway,All,All,318,100
132,2007,Dumfries and Galloway,All,All,203,100
133,2008,Dumfries and Galloway,All,All,206,100
134,2009,Dumfries and Galloway,All,All,211,100
135,2010,Dumfries and Galloway,All,All,269,100
136,2011,Dumfries and Galloway,All,All,264,100
137,2012,Dumfries and Galloway,All,All,322,100
138,2013,Dumfries and Galloway,All,All,378,100
139,2014,Dumfries and Galloway,All,All,354,100
140,2015,Dumfries and Galloway,All,All,352,100
141,2016,Dumfries and Galloway,All,All,331,100
142,2017,Dumfries and Galloway,All,All,327,100
143,2019,Dumfries and Galloway,All,All,324,100
144,2006,East Dunbartonshire,All,All,67,100
145,2007,East Dunbartonshire,All,All,96,100
146,2008,East Dunbartonshire,All,All,114,100
147,2009,East Dunbartonshire,All,All,68,100
148,2010,East Dunbartonshire,All,All,54,100
149,2011,East Dunbartonshire,All,All,115,100
150,2012,East Dunbartonshire,All,All,132,100
151,2013,East Dunbartonshire,All,All,100,100
152,2014,East Dunbartonshire,All,All,84,100
153,2015,East Dunbartonshire,All,All,32,100
154,2016,East Dunbartonshire,All,All,41,100
155,2017,East Dunbartonshire,All,All,67,100
156,2019,East Dunbartonshire,All,All,67,100
157,2006,West Dunbartonshire,All,All,402,100
158,2007,West Dunbartonshire,All,All,385,100
159,2008,West Dunbartonshire,All,All,507,100
160,2009,West Dunbartonshire,All,All,431,100
161,2010,West Dunbartonshire,All,All,421,100
162,2011,West Dunbartonshire,All,All,416,100
163,2012,West Dunbartonshire,All,All,337,100
164,2013,West Dunbartonshire,All,All,366,100
165,2014,West Dunbartonshire,All,All,371,100
166,2015,West Dunbartonshire,All,All,310,100
167,2016,West Dunbartonshire,All,All,291,100
168,2017,West Dunbartonshire,All,All,271,100
169,2019,West Dunbartonshire,All,All,317,100
170,2006,Dundee City,All,All,569,100
171,2007,Dundee City,All,All,756,100
172,2008,Dundee City,All,All,886,100
173,2009,Dundee City,All,All,683,100
174,2010,Dundee City,All,All,470,100
175,2011,Dundee City,All,All,396,100
176,2012,Dundee City,All,All,519,100
177,2013,Dundee City,All,All,NA,NA
178,2014,Dundee City,All,All,476,100
179,2015,Dundee City,All,All,373,100
180,2016,Dundee City,All,All,320,100
181,2017,Dundee City,All,All,360,100
182,2019,Dundee City,All,All,303,100
183,2006,City of Edinburgh,All,All,1128,100
184,2007,City of Edinburgh,All,All,1308,100
185,2008,City of Edinburgh,All,All,1440,100
186,2009,City of Edinburgh,All,All,1091,100
187,2010,City of Edinburgh,All,All,1197,100
188,2011,City of Edinburgh,All,All,1172,100
189,2012,City of Edinburgh,All,All,953,100
190,2013,City of Edinburgh,All,All,1163,100
191,2014,City of Edinburgh,All,All,1169,100
192,2015,City of Edinburgh,All,All,1260,100
193,2016,City of Edinburgh,All,All,1470,100
194,2017,City of Edinburgh,All,All,1236,100
195,2019,City of Edinburgh,All,All,1220,100
196,2006,Na h-Eileanan Siar,All,All,28,100
197,2007,Na h-Eileanan Siar,All,All,36,100
198,2008,Na h-Eileanan Siar,All,All,29,100
199,2009,Na h-Eileanan Siar,All,All,15,100
200,2010,Na h-Eileanan Siar,All,All,33,100
201,2011,Na h-Eileanan Siar,All,All,38,100
202,2012,Na h-Eileanan Siar,All,All,28,100
203,2013,Na h-Eileanan Siar,All,All,21,100
204,2014,Na h-Eileanan Siar,All,All,24,100
205,2015,Na h-Eileanan Siar,All,All,28,100
206,2016,Na h-Eileanan Siar,All,All,34,100
207,2017,Na h-Eileanan Siar,All,All,19,100
208,2019,Na h-Eileanan Siar,All,All,12,100
209,2006,Falkirk,All,All,312,100
210,2007,Falkirk,All,All,271,100
211,2008,Falkirk,All,All,295,100
212,2009,Falkirk,All,All,263,100
213,2010,Falkirk,All,All,273,100
214,2011,Falkirk,All,All,275,100
215,2012,Falkirk,All,All,284,100
216,2013,Falkirk,All,All,377,100
217,2014,Falkirk,All,All,410,100
218,2015,Falkirk,All,All,327,100
219,2016,Falkirk,All,All,297,100
220,2017,Falkirk,All,All,370,100
221,2019,Falkirk,All,All,379,100
222,2006,Fife,All,All,1276,100
223,2007,Fife,All,All,1878,100
224,2008,Fife,All,All,946,100
225,2009,Fife,All,All,921,100
226,2010,Fife,All,All,1040,100
227,2011,Fife,All,All,941,100
228,2012,Fife,All,All,1035,100
229,2013,Fife,All,All,1130,100
230,2014,Fife,All,All,1135,100
231,2015,Fife,All,All,1196,100
232,2016,Fife,All,All,904,100
233,2017,Fife,All,All,994,100
234,2019,Fife,All,All,911,100
235,2006,Glasgow City,All,All,2155,100
236,2007,Glasgow City,All,All,1893,100
237,2008,Glasgow City,All,All,1708,100
238,2009,Glasgow City,All,All,1357,100
239,2010,Glasgow City,All,All,1463,100
240,2011,Glasgow City,All,All,1727,100
241,2012,Glasgow City,All,All,2117,100
242,2013,Glasgow City,All,All,NA,NA
243,2014,Glasgow City,All,All,1987,100
244,2015,Glasgow City,All,All,1618,100
245,2016,Glasgow City,All,All,1729,100
246,2017,Glasgow City,All,All,1581,100
247,2019,Glasgow City,All,All,1317,100
248,2006,Highlands,All,All,661,100
249,2007,Highlands,All,All,377,100
250,2008,Highlands,All,All,217,100
251,2009,Highlands,All,All,258,100
252,2010,Highlands,All,All,243,100
253,2011,Highlands,All,All,282,100
254,2012,Highlands,All,All,277,100
255,2013,Highlands,All,All,203,100
256,2014,Highlands,All,All,262,100
257,2015,Highlands,All,All,181,100
258,2016,Highlands,All,All,204,100
259,2017,Highlands,All,All,168,100
260,2019,Highlands,All,All,177,100
261,2006,Inverclyde,All,All,319,100
262,2007,Inverclyde,All,All,278,100
263,2008,Inverclyde,All,All,325,100
264,2009,Inverclyde,All,All,246,100
265,2010,Inverclyde,All,All,232,100
266,2011,Inverclyde,All,All,245,100
267,2012,Inverclyde,All,All,219,100
268,2013,Inverclyde,All,All,207,100
269,2014,Inverclyde,All,All,192,100
270,2015,Inverclyde,All,All,177,100
271,2016,Inverclyde,All,All,157,100
272,2017,Inverclyde,All,All,161,100
273,2019,Inverclyde,All,All,167,100
274,2006,North Lanarkshire,All,All,338,100
275,2007,North Lanarkshire,All,All,448,100
276,2008,North Lanarkshire,All,All,397,100
277,2009,North Lanarkshire,All,All,653,100
278,2010,North Lanarkshire,All,All,816,100
279,2011,North Lanarkshire,All,All,727,100
280,2012,North Lanarkshire,All,All,787,100
281,2013,North Lanarkshire,All,All,882,100
282,2014,North Lanarkshire,All,All,818,100
283,2015,North Lanarkshire,All,All,866,100
284,2016,North Lanarkshire,All,All,890,100
285,2017,North Lanarkshire,All,All,888,100
286,2019,North Lanarkshire,All,All,875,100
287,2006,South Lanarkshire,All,All,400,100
288,2007,South Lanarkshire,All,All,483,100
289,2008,South Lanarkshire,All,All,460,100
290,2009,South Lanarkshire,All,All,552,100
291,2010,South Lanarkshire,All,All,373,100
292,2011,South Lanarkshire,All,All,369,100
293,2012,South Lanarkshire,All,All,390,100
294,2013,South Lanarkshire,All,All,503,100
295,2014,South Lanarkshire,All,All,469,100
296,2015,South Lanarkshire,All,All,783,100
297,2016,South Lanarkshire,All,All,692,100
298,2017,South Lanarkshire,All,All,539,100
299,2019,South Lanarkshire,All,All,570,100
300,2006,East lothian,All,All,264,100
301,2007,East lothian,All,All,231,100
302,2008,East lothian,All,All,199,100
303,2009,East lothian,All,All,213,100
304,2010,East lothian,All,All,148,100
305,2011,East lothian,All,All,183,100
306,2012,East lothian,All,All,133,100
307,2013,East lothian,All,All,166,100
308,2014,East lothian,All,All,230,100
309,2015,East lothian,All,All,168,100
310,2016,East lothian,All,All,177,100
311,2017,East lothian,All,All,155,100
312,2019,East lothian,All,All,145,100
313,2006,West Lothian,All,All,506,100
314,2007,West Lothian,All,All,540,100
315,2008,West Lothian,All,All,509,100
316,2009,West Lothian,All,All,483,100
317,2010,West Lothian,All,All,433,100
318,2011,West Lothian,All,All,381,100
319,2012,West Lothian,All,All,447,100
320,2013,West Lothian,All,All,522,100
321,2014,West Lothian,All,All,586,100
322,2015,West Lothian,All,All,540,100
323,2016,West Lothian,All,All,501,100
324,2017,West Lothian,All,All,447,100
325,2019,West Lothian,All,All,449,100
326,2006,Midlothian,All,All,178,100
327,2007,Midlothian,All,All,127,100
328,2008,Midlothian,All,All,144,100
329,2009,Midlothian,All,All,130,100
330,2010,Midlothian,All,All,145,100
331,2011,Midlothian,All,All,142,100
332,2012,Midlothian,All,All,163,100
333,2013,Midlothian,All,All,177,100
334,2014,Midlothian,All,All,191,100
335,2015,Midlothian,All,All,158,100
336,2016,Midlothian,All,All,164,100
337,2017,Midlothian,All,All,122,100
338,2019,Midlothian,All,All,111,100
339,2006,Moray,All,All,119,100
340,2007,Moray,All,All,95,100
341,2008,Moray,All,All,92,100
342,2009,Moray,All,All,80,100
343,2010,Moray,All,All,138,100
344,2011,Moray,All,All,111,100
345,2012,Moray,All,All,66,100
346,2013,Moray,All,All,50,100
347,2014,Moray,All,All,85,100
348,2015,Moray,All,All,95,100
349,2016,Moray,All,All,113,100
350,2017,Moray,All,All,157,100
351,2019,Moray,All,All,136,100
352,2006,Orkey Islands,All,All,8,100
353,2007,Orkey Islands,All,All,NA,NA
354,2008,Orkey Islands,All,All,NA,NA
355,2009,Orkey Islands,All,All,NA,NA
356,2010,Orkey Islands,All,All,5,100
357,2011,Orkey Islands,All,All,NA,NA
358,2012,Orkey Islands,All,All,NA,NA
359,2013,Orkey Islands,All,All,8,100
360,2014,Orkey Islands,All,All,NA,NA
361,2015,Orkey Islands,All,All,5,100
362,2016,Orkey Islands,All,All,NA,NA
363,2017,Orkey Islands,All,All,5,100
364,2006,Perth and Kinross,All,All,166,100
365,2007,Perth and Kinross,All,All,240,100
366,2008,Perth and Kinross,All,All,268,100
367,2009,Perth and Kinross,All,All,122,100
368,2010,Perth and Kinross,All,All,176,100
369,2011,Perth and Kinross,All,All,278,100
370,2012,Perth and Kinross,All,All,276,100
371,2013,Perth and Kinross,All,All,NA,NA
372,2014,Perth and Kinross,All,All,261,100
373,2015,Perth and Kinross,All,All,328,100
374,2016,Perth and Kinross,All,All,344,100
375,2017,Perth and Kinross,All,All,222,100
376,2019,Perth and Kinross,All,All,197,100
377,2006,Renfrewshire,All,All,336,100
378,2007,Renfrewshire,All,All,391,100
379,2008,Renfrewshire,All,All,467,100
380,2009,Renfrewshire,All,All,489,100
381,2010,Renfrewshire,All,All,491,100
382,2011,Renfrewshire,All,All,432,100
383,2012,Renfrewshire,All,All,410,100
384,2013,Renfrewshire,All,All,443,100
385,2014,Renfrewshire,All,All,379,100
386,2015,Renfrewshire,All,All,325,100
387,2016,Renfrewshire,All,All,329,100
388,2017,Renfrewshire,All,All,204,100
389,2019,Renfrewshire,All,All,250,100
390,2006,East Renfrewshire,All,All,85,100
391,2007,East Renfrewshire,All,All,86,100
392,2008,East Renfrewshire,All,All,118,100
393,2009,East Renfrewshire,All,All,112,100
394,2010,East Renfrewshire,All,All,71,100
395,2011,East Renfrewshire,All,All,76,100
396,2012,East Renfrewshire,All,All,56,100
397,2013,East Renfrewshire,All,All,53,100
398,2014,East Renfrewshire,All,All,47,100
399,2015,East Renfrewshire,All,All,46,100
400,2016,East Renfrewshire,All,All,73,100
401,2017,East Renfrewshire,All,All,86,100
402,2019,East Renfrewshire,All,All,69,100
403,2006,Shetland Islands,All,All,46,100
404,2007,Shetland Islands,All,All,45,100
405,2008,Shetland Islands,All,All,49,100
406,2009,Shetland Islands,All,All,65,100
407,2010,Shetland Islands,All,All,69,100
408,2011,Shetland Islands,All,All,46,100
409,2012,Shetland Islands,All,All,39,100
410,2013,Shetland Islands,All,All,35,100
411,2014,Shetland Islands,All,All,27,100
412,2015,Shetland Islands,All,All,25,100
413,2016,Shetland Islands,All,All,41,100
414,2017,Shetland Islands,All,All,31,100
415,2019,Shetland Islands,All,All,31,100
416,2006,Stirling,All,All,135,100
417,2007,Stirling,All,All,160,100
418,2008,Stirling,All,All,156,100
419,2009,Stirling,All,All,160,100
420,2010,Stirling,All,All,187,100
421,2011,Stirling,All,All,176,100
422,2012,Stirling,All,All,191,100
423,2013,Stirling,All,All,179,100
424,2014,Stirling,All,All,232,100
425,2015,Stirling,All,All,204,100
426,2016,Stirling,All,All,182,100
427,2017,Stirling,All,All,167,100
428,2019,Stirling,All,All,196,100
429,2006,Scotland,Under 20yrs old,All,1054,8.64927
430,2006,Scotland,20 to 24 yrs old,All,2075,17.02774
431,2006,Scotland,25 to 29 yrs old,All,2905,23.83883
432,2006,Scotland,30 to 34 yrs old,All,2603,21.36058
433,2006,Scotland,35 to 39 yrs old,All,1766,14.49204
434,2006,Scotland,40 to 44 yrs old,All,982,8.05843
435,2006,Scotland,45+ yrs old,All,801,6.57312
436,2006,Scotland,Unknown,All,0,0
437,2007,Scotland,Under 20yrs old,All,1043,8.06589
438,2007,Scotland,20 to 24 yrs old,All,2124,16.42564
439,2007,Scotland,25 to 29 yrs old,All,3017,23.33153
440,2007,Scotland,30 to 34 yrs old,All,2666,20.61712
441,2007,Scotland,35 to 39 yrs old,All,1967,15.21151
442,2007,Scotland,40 to 44 yrs old,All,1104,8.53762
443,2007,Scotland,45+ yrs old,All,1008,7.79522
444,2007,Scotland,Unknown,All,2,0.01547
445,2008,Scotland,Under 20yrs old,All,924,7.62565
446,2008,Scotland,20 to 24 yrs old,All,1838,15.16877
447,2008,Scotland,25 to 29 yrs old,All,2859,23.59495
448,2008,Scotland,30 to 34 yrs old,All,2474,20.4176
449,2008,Scotland,35 to 39 yrs old,All,1814,14.9707
450,2008,Scotland,40 to 44 yrs old,All,1170,9.65586
451,2008,Scotland,45+ yrs old,All,1038,8.56648
452,2008,Scotland,Unknown,All,0,0
453,2009,Scotland,Under 20yrs old,All,762,6.73323
454,2009,Scotland,20 to 24 yrs old,All,1581,13.97013
455,2009,Scotland,25 to 29 yrs old,All,2460,21.73721
456,2009,Scotland,30 to 34 yrs old,All,2456,21.70186
457,2009,Scotland,35 to 39 yrs old,All,1924,17.00097
458,2009,Scotland,40 to 44 yrs old,All,1174,10.37377
459,2009,Scotland,45+ yrs old,All,959,8.47398
460,2009,Scotland,Unknown,All,1,0.00884
461,2010,Scotland,Under 20yrs old,All,725,6.34462
462,2010,Scotland,20 to 24 yrs old,All,1516,13.26682
463,2010,Scotland,25 to 29 yrs old,All,2287,20.014
464,2010,Scotland,30 to 34 yrs old,All,2627,22.98941
465,2010,Scotland,35 to 39 yrs old,All,2056,17.99247
466,2010,Scotland,40 to 44 yrs old,All,1198,10.48394
467,2010,Scotland,45+ yrs old,All,1015,8.88247
468,2010,Scotland,Unknown,All,3,0.02625
469,2011,Scotland,Under 20yrs old,All,755,6.66079
470,2011,Scotland,20 to 24 yrs old,All,1424,12.56286
471,2011,Scotland,25 to 29 yrs old,All,2124,18.73842
472,2011,Scotland,30 to 34 yrs old,All,2529,22.31142
473,2011,Scotland,35 to 39 yrs old,All,1987,17.52978
474,2011,Scotland,40 to 44 yrs old,All,1424,12.56286
475,2011,Scotland,45+ yrs old,All,1091,9.62506
476,2011,Scotland,Unknown,All,1,0.00882
477,2012,Scotland,Under 20yrs old,All,632,5.41467
478,2012,Scotland,20 to 24 yrs old,All,1351,11.57471
479,2012,Scotland,25 to 29 yrs old,All,1997,17.10932
480,2012,Scotland,30 to 34 yrs old,All,2547,21.82145
481,2012,Scotland,35 to 39 yrs old,All,2052,17.58053
482,2012,Scotland,40 to 44 yrs old,All,1567,13.42529
483,2012,Scotland,45+ yrs old,All,1524,13.05689
484,2012,Scotland,Unknown,All,2,0.01714
485,2013,Scotland,Under 20yrs old,All,NA,NA
486,2013,Scotland,20 to 24 yrs old,All,NA,NA
487,2013,Scotland,25 to 29 yrs old,All,NA,NA
488,2013,Scotland,30 to 34 yrs old,All,NA,NA
489,2013,Scotland,35 to 39 yrs old,All,NA,NA
490,2013,Scotland,40 to 44 yrs old,All,NA,NA
491,2013,Scotland,45+ yrs old,All,NA,NA
492,2013,Scotland,Unknown,All,NA,NA
493,2014,Scotland,Under 20yrs old,All,731,5.83679
494,2014,Scotland,20 to 24 yrs old,All,1232,9.83711
495,2014,Scotland,25 to 29 yrs old,All,1932,15.42638
496,2014,Scotland,30 to 34 yrs old,All,2599,20.75216
497,2014,Scotland,35 to 39 yrs old,All,2339,18.67614
498,2014,Scotland,40 to 44 yrs old,All,1789,14.28457
499,2014,Scotland,45+ yrs old,All,1900,15.17087
500,2014,Scotland,Unknown,All,2,0.01597
501,2015,Scotland,Under 20yrs old,All,686,5.65074
502,2015,Scotland,20 to 24 yrs old,All,1202,9.90115
503,2015,Scotland,25 to 29 yrs old,All,1791,14.75288
504,2015,Scotland,30 to 34 yrs old,All,2374,19.55519
505,2015,Scotland,35 to 39 yrs old,All,2304,18.97858
506,2015,Scotland,40 to 44 yrs old,All,1777,14.63756
507,2015,Scotland,45+ yrs old,All,2004,16.50741
508,2015,Scotland,Unknown,All,2,0.01647
509,2016,Scotland,Under 20yrs old,All,610,5.12777
510,2016,Scotland,20 to 24 yrs old,All,1075,9.03665
511,2016,Scotland,25 to 29 yrs old,All,1828,15.36651
512,2016,Scotland,30 to 34 yrs old,All,2271,19.09045
513,2016,Scotland,35 to 39 yrs old,All,2288,19.23336
514,2016,Scotland,40 to 44 yrs old,All,1761,14.8033
515,2016,Scotland,45+ yrs old,All,2061,17.32515
516,2016,Scotland,Unknown,All,2,0.01681
517,2017,Scotland,Under 20yrs old,All,519,4.70492
518,2017,Scotland,20 to 24 yrs old,All,1021,9.25573
519,2017,Scotland,25 to 29 yrs old,All,1594,14.45019
520,2017,Scotland,30 to 34 yrs old,All,2003,18.15792
521,2017,Scotland,35 to 39 yrs old,All,2155,19.53585
522,2017,Scotland,40 to 44 yrs old,All,1657,15.0213
523,2017,Scotland,45+ yrs old,All,2078,18.83782
524,2017,Scotland,Unknown,All,4,0.03626
525,2019,Scotland,Under 20yrs old,All,492,4.57377
526,2019,Scotland,20 to 24 yrs old,All,1025,9.52868
527,2019,Scotland,25 to 29 yrs old,All,1635,15.19941
528,2019,Scotland,30 to 34 yrs old,All,1951,18.13703
529,2019,Scotland,35 to 39 yrs old,All,2058,19.13173
530,2019,Scotland,40 to 44 yrs old,All,1573,14.62304
531,2019,Scotland,45+ yrs old,All,2017,18.75058
532,2019,Scotland,Unknown,All,6,0.05578
533,2006,Aberdeen City,Under 20yrs old,All,19,4.61165
534,2006,Aberdeen City,20 to 24 yrs old,All,79,19.17476
535,2006,Aberdeen City,25 to 29 yrs old,All,123,29.85437
536,2006,Aberdeen City,30 to 34 yrs old,All,104,25.24272
537,2006,Aberdeen City,35 to 39 yrs old,All,49,11.8932
538,2006,Aberdeen City,40 to 44 yrs old,All,27,6.5534
539,2006,Aberdeen City,45+ yrs old,All,11,2.6699
540,2006,Aberdeen City,Unknown,All,0,0
541,2007,Aberdeen City,Under 20yrs old,All,43,6.36095
542,2007,Aberdeen City,20 to 24 yrs old,All,126,18.63905
543,2007,Aberdeen City,25 to 29 yrs old,All,182,26.92308
544,2007,Aberdeen City,30 to 34 yrs old,All,161,23.81657
545,2007,Aberdeen City,35 to 39 yrs old,All,87,12.86982
546,2007,Aberdeen City,40 to 44 yrs old,All,47,6.95266
547,2007,Aberdeen City,45+ yrs old,All,30,4.43787
548,2007,Aberdeen City,Unknown,All,0,0
549,2008,Aberdeen City,Under 20yrs old,All,31,5.58559
550,2008,Aberdeen City,20 to 24 yrs old,All,76,13.69369
551,2008,Aberdeen City,25 to 29 yrs old,All,150,27.02703
552,2008,Aberdeen City,30 to 34 yrs old,All,134,24.14414
553,2008,Aberdeen City,35 to 39 yrs old,All,94,16.93694
554,2008,Aberdeen City,40 to 44 yrs old,All,40,7.20721
555,2008,Aberdeen City,45+ yrs old,All,30,5.40541
556,2008,Aberdeen City,Unknown,All,0,0
557,2009,Aberdeen City,Under 20yrs old,All,24,4.58015
558,2009,Aberdeen City,20 to 24 yrs old,All,68,12.9771
559,2009,Aberdeen City,25 to 29 yrs old,All,122,23.28244
560,2009,Aberdeen City,30 to 34 yrs old,All,131,25
561,2009,Aberdeen City,35 to 39 yrs old,All,90,17.17557
562,2009,Aberdeen City,40 to 44 yrs old,All,58,11.0687
563,2009,Aberdeen City,45+ yrs old,All,31,5.91603
564,2009,Aberdeen City,Unknown,All,0,0
565,2010,Aberdeen City,Under 20yrs old,All,17,3.32681
566,2010,Aberdeen City,20 to 24 yrs old,All,74,14.48141
567,2010,Aberdeen City,25 to 29 yrs old,All,117,22.89628
568,2010,Aberdeen City,30 to 34 yrs old,All,122,23.87476
569,2010,Aberdeen City,35 to 39 yrs old,All,88,17.22114
570,2010,Aberdeen City,40 to 44 yrs old,All,58,11.35029
571,2010,Aberdeen City,45+ yrs old,All,35,6.84932
572,2010,Aberdeen City,Unknown,All,0,0
573,2011,Aberdeen City,Under 20yrs old,All,13,2.6
574,2011,Aberdeen City,20 to 24 yrs old,All,47,9.4
575,2011,Aberdeen City,25 to 29 yrs old,All,108,21.6
576,2011,Aberdeen City,30 to 34 yrs old,All,124,24.8
577,2011,Aberdeen City,35 to 39 yrs old,All,108,21.6
578,2011,Aberdeen City,40 to 44 yrs old,All,60,12
579,2011,Aberdeen City,45+ yrs old,All,40,8
580,2011,Aberdeen City,Unknown,All,0,0
581,2012,Aberdeen City,Under 20yrs old,All,13,2.03125
582,2012,Aberdeen City,20 to 24 yrs old,All,47,7.34375
583,2012,Aberdeen City,25 to 29 yrs old,All,104,16.25
584,2012,Aberdeen City,30 to 34 yrs old,All,179,27.96875
585,2012,Aberdeen City,35 to 39 yrs old,All,146,22.8125
586,2012,Aberdeen City,40 to 44 yrs old,All,96,15
587,2012,Aberdeen City,45+ yrs old,All,55,8.59375
588,2012,Aberdeen City,Unknown,All,0,0
589,2013,Aberdeen City,Under 20yrs old,All,10,1.38313
590,2013,Aberdeen City,20 to 24 yrs old,All,57,7.88382
591,2013,Aberdeen City,25 to 29 yrs old,All,111,15.3527
592,2013,Aberdeen City,30 to 34 yrs old,All,196,27.10927
593,2013,Aberdeen City,35 to 39 yrs old,All,164,22.68326
594,2013,Aberdeen City,40 to 44 yrs old,All,101,13.96957
595,2013,Aberdeen City,45+ yrs old,All,84,11.61826
596,2013,Aberdeen City,Unknown,All,0,0
597,2014,Aberdeen City,Under 20yrs old,All,10,1.3587
598,2014,Aberdeen City,20 to 24 yrs old,All,65,8.83152
